Class,Course,Term Name,Class Ave,Class Ave,Credits,
ACCT351-201601,ACCT351,W2016,B,3.00,3.00,#REF!
ACCT351-201609,ACCT351,F2016,B,3.00,3.00,#REF!
ACCT351-201701,ACCT351,W2017,B,3.00,3.00,#REF!
ACCT351-201709,ACCT351,F2017,B,3.00,3.00,#REF!
ACCT351-201901,ACCT351,W2019,B,3.00,3.00,#REF!
ACCT351-201909,ACCT351,F2019,C+,2.30,3.00,#REF!
ACCT351-202005,ACCT351,S2020,B,3.00,3.00,#REF!
ACCT351-202009,ACCT351,F2020,B+,3.30,3.00,#REF!
ACCT351-202105,ACCT351,S2021,B+,3.30,3.00,#REF!
ACCT351-202109,ACCT351,F2021,B-,2.70,3.00,#REF!
ACCT351-202201,ACCT351,W2022,B+,3.30,3.00,#REF!
ACCT351-202209,ACCT351,F2022,B-,2.70,3.00,#REF!
ACCT351-202301,ACCT351,W2023,B+,3.30,3.00,#REF!
ACCT351-202309,ACCT351,F2023,B+,3.30,3.00,#REF!
ACCT351-202401,ACCT351,W2024,B+,3.30,3.00,#REF!
ACCT352-201609,ACCT352,F2016,B,3.00,3.00,#REF!
ACCT352-201709,ACCT352,F2017,B,3.00,3.00,#REF!
ACCT352-201801,ACCT352,W2018,B+,3.30,3.00,#REF!
ACCT352-202109,ACCT352,F2021,B+,3.30,3.00,#REF!
ACCT352-202201,ACCT352,W2022,B+,3.30,3.00,#REF!
ACCT352-202209,ACCT352,F2022,B+,3.30,3.00,#REF!
ACCT352-202301,ACCT352,W2023,B+,3.30,3.00,#REF!
ACCT352-202309,ACCT352,F2023,B+,3.30,3.00,#REF!
ACCT352-202409,ACCT352,F2024,B,3.00,3.00,#REF!
ACCT354-201609,ACCT354,F2016,B,3.00,3.00,#REF!
ACCT354-201701,ACCT354,W2017,B,3.00,3.00,#REF!
ACCT354-201709,ACCT354,F2017,B+,3.30,3.00,#REF!
ACCT354-201801,ACCT354,W2018,B,3.00,3.00,#REF!
ACCT354-201901,ACCT354,W2019,B,3.00,3.00,#REF!
ACCT354-202209,ACCT354,F2022,B+,3.30,3.00,#REF!
ACCT354-202301,ACCT354,W2023,B+,3.30,3.00,#REF!
ACCT354-202309,ACCT354,F2023,B+,3.30,3.00,#REF!
ACCT361-201609,ACCT361,F2016,B+,3.30,3.00,#REF!
ACCT361-201701,ACCT361,W2017,B,3.00,3.00,#REF!
ACCT361-201709,ACCT361,F2017,B+,3.30,3.00,#REF!
ACCT361-201801,ACCT361,W2018,B,3.00,3.00,#REF!
ACCT361-201809,ACCT361,F2018,B,3.00,3.00,#REF!
ACCT361-201909,ACCT361,F2019,B+,3.30,3.00,#REF!
ACCT361-202009,ACCT361,F2020,B+,3.30,3.00,#REF!
ACCT361-202101,ACCT361,W2021,B+,3.30,3.00,#REF!
ACCT361-202109,ACCT361,F2021,B+,3.30,3.00,#REF!
ACCT361-202209,ACCT361,F2022,B,3.00,3.00,#REF!
ACCT361-202301,ACCT361,W2023,B,3.00,3.00,#REF!
ACCT361-202309,ACCT361,F2023,B+,3.30,3.00,#REF!
ACCT361-202401,ACCT361,W2024,B+,3.30,3.00,#REF!
ACCT361-202409,ACCT361,F2024,A-,3.70,3.00,#REF!
ACCT362-201801,ACCT362,W2018,B+,3.30,3.00,#REF!
ACCT362-202101,ACCT362,W2021,A-,3.70,3.00,#REF!
ACCT362-202201,ACCT362,W2022,B+,3.30,3.00,#REF!
